,Unnamed: 0,video_ids,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration,definition,caption,publishedAt_date,publishedAt_day,tags_count
0,0,Yocja_N5s1I,CrashCourse,The Agricultural Revolution: Crash Course World History #1,"In which John Green investigates the dawn of human civilization. John looks into how people gave up hunting and gathering to become agriculturalists, and how that change has influenced the world we live in today. Also, there are some jokes about cheeseburgers.

Additional reading:
Nisa by Marjorie Shostak: https://bit.ly/3M5Ikyq
First Farmers by Peter Bellwood: https://bit.ly/3jHBNxL

Chapters:
About the Test  00:00
The Journey of a Double Cheeseburger 1:04
Early Humans: Hunting and Foraging 02:18
Advantages & Disadvantages of Agriculture 03:39
An Open Letter to Elephants 06:49
Why did the Agricultural Revolution Happen? 07:51
Credits 10:38

Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Instagram - https://www.instagram.com/thecrashcourse/

CC Kids: http://www.youtube.com/crashcoursekids","['John Green', 'history', 'agriculture', 'ancient', 'pre-history', 'prehistoric', 'farming', 'double', 'cheeseburger', 'Charles Darwin', 'Nisa', 'crash course', 'hank green', 'vlogbrothers', 'Documentary', 'Culture', 'herders', 'sheep', 'llama', 'lama', 'Francthi', 'Neolithic Revolution', 'WHAP', 'AP', 'exam', 'test', 'learn']",2012-01-26 20:12:01+00:00,16228446,161364,12211,671,hd,True,2012-01-26,Thursday,27
1,1,-TFCMK4i2lo,CrashCourse,Batman & Identity: Crash Course Philosophy #18,"Hank explores different ways of understanding identity â€“ including the Indiscernibility of Identicals, and essential and accidental properties. In what ways does affect identity? In what ways does it not? What does it mean for a thing to persist over time?

--

Images and video via VideoBlocks or Wikimedia Commons, licensed under Creative Commons by 4.0:
https://creativecommons.org/licenses/by/4.0/

--

Produced in collaboration with PBS Digital Studios: http://youtube.com/pbsdigitalstudios

Crash Course Philosophy is sponsored by Squarespace.
http://www.squarespace.com/crashcourse

--

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashC...
Twitter - http://www.twitter.com/TheCrashCourse
Tumblr - http://thecrashcourse.tumblr.com 
Support CrashCourse on Patreon: http://www.patreon.com/crashcourse

CC Kids: http://www.youtube.com/crashcoursekids","['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'edu', 'humanities', 'philosophy', 'identity', 'personal identity', 'batman']",2016-06-20 21:00:01+00:00,1465071,28092,1499,549,hd,True,2016-06-20,Monday,12
2,2,X9ZZ6tcxArI,CrashCourse,"The Heart, Part 1 - Under Pressure: Crash Course Anatomy & Physiology #25","Your heart gets a lot of attention from poets, songwriters, and storytellers, but today Hank's gonna tell you how it really works. The heartâ€™s ventricles, atria, and valves create a pump that maintains both high and low pressure to circulate blood from the heart to the body through your arteries and bring it back to the heart through your veins. You'll also learn what your blood pressure measurements mean when we talk about systolic and diastolic blood pressure.

Pssst... we made flashcards to help you review the content in this episode! Find them on the free Crash Course App! 

Download it here for Apple Devices: https://apple.co/3d4eyZo
Download it here for Android Devices: https://bit.ly/2SrDulJ

Chapters:
Introduction: The Heart 00:00
Structure of the Heart 1:41
The Heart's Ventricles, Atria, and Valves 3:25
Arteries & Veins 4:35
Pulmonary Circulation Loop 5:04
Systemic Loop 6:14
Systolic and Diastolic Blood Pressure 7:58
Review 8:59
Credits 9:29

***

Crash Course is now on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Thanks to the following Patrons for their generous monthly contributions that help keep Crash Course free for everyone forever:

Mark Brouwer, Jan Schmid, Anna-Ester Volozh, Robert Kunz, Jason A Saslow, Christian Ludvigsen, Chris Peters, Brad Wardell, Beatrice Jin, Roger C. Rocha, Eric Knight, Jessica Simmons, Jeffrey Thompson, Elliot Beter, Today I Found Out, James Craver, Ian Dundore, Jessica Wode, SR Foxley, Sandra Aft, Jacob Ash, Steve Marshall

***SUBBABLE MESSAGES***

TO: My Student
FROM: Earle

Check out www.youtube.com/amorsciendi for supplementary content.

--

TO: Everyone
FROM: Magnus Krokstad

Keep dreaming!

***SUPPORTER THANK YOU!***

Thank you so much to all of our awesome supporters for their contributions to help make Crash Course possible and freely available for everyone forever:

Damian Shaw, Taylor Garget, Emily Barker, Librarifan, Damian Shaw, Courtney Spurgeon, juliagraph, Katherine Allen, Stephen DeCubellis, Vanessa Benavent

--

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Tumblr - http://thecrashcourse.tumblr.com 
Support Crash Course on Patreon: http://patreon.com/crashcourse

CC Kids: http://www.youtube.com/crashcoursekids","['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'Anatomy', 'Physiology', 'Heart', 'heart valves', 'blood pressure', 'systolic pressure', 'diastolic pressure', 'blood', 'blood vessels', 'atria', 'ventricles', 'veins', 'arteries']",2015-07-06 23:00:01+00:00,6704554,73371,1472,608,hd,True,2015-07-06,Monday,18
3,3,MSYw502dJNY,CrashCourse,How and Why We Read: Crash Course English Literature #1,"In which John Green kicks off the Crash Course Literature mini-series with a reasonable set of questions. Why do we read? What's the point of reading critically. John will argue that reading is about effectively communicating with other people. Unlike direct communication though, the writer has to communicate with a stranger, through time and space, with only ""dry dead words on a page."" So how's that going to work? Find out with Crash Course Literature! Also, readers are empowered during the open letter, so that's pretty cool.

Crash Course Literature 100 Reading List:
Romeo and Juliet by William Shakespeare
The Great Gatsby by F. Scott Fitzgerald
Catcher in the Rye
Complete Poems of Emily Dickinson

Consider supporting local bookstores by purchasing your books through our Bookshop affiliate link https://bookshop.org/shop/complexly or at your local bookseller.

Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Instagram - https://www.instagram.com/thecrashcourse/

CC Kids: http://www.youtube.com/crashcoursekids","['Book', 'Books', 'Reading', 'Author', 'Novel', 'Writing', 'Library', 'Letters', 'word', 'words', 'poetry', 'poem', 'iambic pentameter', 'drama', 'play', 'shakespeare', 'gatsby', '\\holden caulfield\\', 'catcher in the rye', '\\John Green\\', '\\critical reading\\', 'criticism', '\\authorial intent\\']",2012-11-15 22:43:57+00:00,4593010,61316,6105,420,hd,True,2012-11-15,Thursday,23
4,4,PzyXGUCngoU,CrashCourse,Adolescence: Crash Course Psychology #20,"In this episode of Crash Course Psychology, Hank has a look at that oh-so-troublesome time in everyone's life: Adolescence! He talks about identity, individuality, and The Breakfast Club. 
 
Want more videos about psychology? Check out our sister channel SciShow Psych at https://www.youtube.com/scishowpsych! 

--
Chapters:
Introduction: The Breakfast Club 00:00
Erikson's 8 Stages of Progressive Psychosocial Development 2:05
Adolescence: Identity vs. Role Confusion 2:51
Young Adulthood: Intimacy vs. Isolation 3:39
Middle Adulthood: Generativity vs. Stagnation 4:35
Late Adulthood: Integrity vs. Despair 5:10
Physical Changes in Adulthood 5:57
Fluid & Crystallized Intelligence 6:50
Dementia & Alzheimer's Disease 8:10
Review & Credits 9:25
--
Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Instagram - https://www.instagram.com/thecrashcourse/

CC Kids: http://www.youtube.com/crashcoursekids","['Psychology (Medical Specialty)', 'Cognition (Literature Subject)', 'Mind (Field Of Study)', 'Medicine (Field Of Study)', 'crash course psychology', 'the mind', 'how the brain works', 'adolescence', 'The Breakfast Club (Award-Winning Work)', 'individuality', 'identity']",2014-06-23 16:00:00+00:00,2793180,33559,968,615,hd,True,2014-06-23,Monday,11
5,5,Be-A-sCIMpg,CrashCourse,Media Skills: Crash Course Media Literacy #11,"Now that you have a solid understanding of the media landscape, itâ€™s time to equip you with the essential skills for navigating it.

***

Resources:

NAMLE on Media Literacy https://namle.net/publications/media-literacy-definitions/

Digital divide persists even as lower-income Americans make gains in tech adoption http://www.pewresearch.org/fact-tank/2017/03/22/digital-divide-persists-even-as-lower-income-americans-make-gains-in-tech-adoption/

The numbers behind the broadband â€˜homework gapâ€™ http://www.pewresearch.org/fact-tank/2015/04/20/the-numbers-behind-the-broadband-homework-gap/

McDonald's: you can sneer, but it's the glue that holds communities together https://www.theguardian.com/business/2016/jun/08/mcdonalds-community-centers-us-physical-social-networks

Digital Na(t)ives? Variation in Internet Skills and Uses among Members of the â€˜â€˜Net Generationâ€™â€™* http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.462.7343&rep=rep1&type=pdf

Stanford researchers find students have trouble judging the credibility of information online https://ed.stanford.edu/news/stanford-researchers-find-students-have-trouble-judging-credibility-information-online

FCC net neutrality process â€˜corruptedâ€™ by fake comments and vanishing consumer complaints, officials say https://www.washingtonpost.com/news/the-switch/wp/2017/11/24/fcc-net-neutrality-process-corrupted-by-fake-comments-and-vanishing-consumer-complaints-officials-say/?noredirect=on&utm_term=.d8b6a55f90f8

Teaching Adolescents How to Evaluate the Quality of Online Information https://www.edutopia.org/blog/evaluating-quality-of-online-info-julie-coiro

When teens create the news: examining the impact of PBS/news hour student reporting labs https://mediaeducationlab.com/sites/default/files/Hobbs%20-%20When%20teens%20create.pdf

London School of Economics EU Kids Online: September 2011 http://www.lse.ac.uk/media%40lse/research/EUKidsOnline/EU%20Kids%20II%20(2009-11)/EUKidsOnlineIIReports/Final%20report.pdf

***

Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Thanks to the following Patrons for their generous monthly contributions that help keep Crash Course free for everyone forever:

Mark Brouwer, Glenn Elliott, Justin Zingsheim, Jessica Wode, Eric Prestemon, Kathrin Benoit, Tom Trval, Jason Saslow, Nathan Taylor, Divonne Holmes Ã  Court, Brian Thomas Gossett, Khaled El Shalakany, Indika Siriwardena, SR Foxley, Sam Ferguson, Yasenia Cruz, Eric Koslow, Caleb Weeks, Tim Curwick, Evren TÃ¼rkmenoÄŸlu, D.A. Noe, Shawn  Arnold, mark austin, Ruth Perez, Malcolm Callis, Ken Penttinen, Advait Shinde, Cody Carpenter, Annamaria Herrera, William McGraw, Bader AlGhamdi, Vaso, Melissa Briski, Joey Quek, Andrei Krishkevich, Rachel Bright, Alex S, Mayumi Maeda, Kathy & Tim Philip, Montather, Jirat, Eric Kitchen, Moritz Schmidt, Ian Dundore, Chris Peters, Sandra Aft, Steve Marshall
--

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Tumblr - http://thecrashcourse.tumblr.com 
Support Crash Course on Patreon: http://patreon.com/crashcourse

CC Kids: http://www.youtube.com/crashcoursekids","['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'media literacy', 'media skills']",2018-05-08 20:37:54+00:00,222686,4008,136,663,hd,True,2018-05-08,Tuesday,8
6,6,vyea8Ph9BOM,CrashCourse,Phonetics - Consonants: Crash Course Linguistics #8,"The letters in a word donâ€™t always match the sounds they represent, and people can pronounce words in different ways. Lucky for us, linguists have tools to help understand and communicate speech sounds. In this episode of Crash Course Linguistics, weâ€™ll begin our discussion of phonetics, the study of speech sounds, by talking about consonants, and weâ€™ll also get an introduction to the International Phonetic Alphabet, or IPA.

Want even more linguistics? Check out the Lingthusiasm podcast, hosted by the writers of Crash Course Linguistics: https://lingthusiasm.com/

Check out Monstrum on Storied: https://youtu.be/KIGmsxBMnjA

***
Watch our videos and review your learning with the Crash Course App! 
Download here for Apple Devices: https://apple.co/3d4eyZo
Download here for Android Devices: https://bit.ly/2SrDulJ

Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Thanks to the following patrons for their generous monthly contributions that help keep Crash Course free for everyone forever:

Catherine Conroy, Patty Laqua, Leonora RossÃ© MuÃ±oz, Stephen Saar, John Lee, Phil Simmons, Alexander Thomson, Mark & Susan Billian, Junrong Eric Zhu, Alan Bridgeman, Jennifer Smith, Matt Curls, Tim Kwist, Ron Lin, Jonathan Zbikowski. Jennifer Killen, Sarah & Nathan Catchings, Brandon Westmoreland, team dorsey, Trevin Beattie, Eric Prestemon, Sam Ferguson, Yasenia Cruz, Eric Koslow, Indika Siriwardena, Khaled El Shalakany, Shawn Arnold, Tom Trval, SiobhÃ¡n, Ken Penttinen, Nathan Taylor, William McGraw, Justin Zingsheim, Andrei Krishkevich, Jirat, Brian Thomas Gossett, SR Foxley, Ian Dundore, Jason A Saslow, Jessica Wode, Mark, Caleb Weeks, Sam Buck
--

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Tumblr - http://thecrashcourse.tumblr.com 
Support Crash Course on Patreon: http://patreon.com/crashcourse

CC Kids: http://www.youtube.com/crashcoursekids","['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'language', 'linguistics', 'phonetics', 'consonants', 'International Phonetic Alphabet', 'IPA', 'speech sounds', 'vocal tract', 'articulation', 'PBS', 'Lingthusiasm', 'vocal chords', 'voicing']",2020-10-30 18:24:33+00:00,478578,11158,192,690,hd,True,2020-10-30,Friday,19
7,7,g9aDizJpd_s,CrashCourse,Supply and Demand: Crash Course Economics #4,"In which Adriene Hill and Jacob Clifford teach you about one of the fundamental economic ideas, supply and demand. What is supply and demand? Well, youâ€™ll have to watch the video to really understand it, but itâ€™s kind of important for everything economically. Supply and demand sets prices, and indicates to manufacturers how much to produce. Also, it has a lot to do with strawberries.

Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Thanks to the following Patrons for their generous monthly contributions that help keep Crash Course free for everyone forever:

Mark, Jan Schmid, Simun Niclasen, Robert Kunz, Daniel Baulig, Jason A Saslow, Eric Kitchen, Christian, Beatrice Jin, Anna-Ester Volozh, Eric Knight, Elliot Beter, Jeffrey Thompson, Ian Dundore, Stephen Lawless, Today I Found Out, James Craver, Jessica Wode, Sandra Aft, Jacob Ash, SR Foxley, Christy Huddleston, Steve Marshall, Chris Peters

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Tumblr - http://thecrashcourse.tumblr.com 
Support Crash Course on Patreon: http://patreon.com/crashcourse

CC Kids: http://www.youtube.com/crashcoursekids","['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'supply', 'demand', 'supply and demand', 'econ', 'economics', 'strawberries', 'market', 'market forces', 'revenue', 'sale', 'berry', 'berries', 'model', 'jacob clifford', 'adriene hill', 'money', 'markets', 'market economy', 'kidneys', 'police', 'fire department']",2015-08-14 13:44:24+00:00,4171360,50516,1969,622,hd,True,2015-08-14,Friday,26
8,8,00jbG_cfGuQ,CrashCourse,ATP & Respiration: Crash Course Biology #7,"In which Hank does some push-ups for science and describes the ""economy"" of cellular respiration and the various processes whereby our bodies create energy in the form of ATP.

Special thanks go to Stafford Fitness (www.staffordfitness.net) for allowing us to shoot the gym scenes in their facilities.

This video uses sounds from Freesound.org

Table of Contents:
1) Cellular Respiration 01:00
2) Adenosine Triphosphate 01:29
3) Glycolysis 4:13
A) Pyruvate Molecules 5:00
B) Anaerobic Respiration/Fermentation 5:33
C) Aerobic Respiration 6:45
4) Krebs Cycle 7:06
A) Acetyl COA 7:38
B) Oxaloacetic Acid 8:21
C) Biolography: Hans Krebs 8:37
D) NAD/FAD 9:48
5) Electron Transport Chain 10:55
6) Check the Math 12:33

Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Instagram - https://www.instagram.com/thecrashcourse/

CC Kids: http://www.youtube.com/crashcoursekids","['crashcourse', 'biology', 'science', 'chemistry', 'energy', 'atp', 'adenosine triphosphate', 'cellular respiration', 'glucose', 'adp', 'hydrolysis', 'glycolysis', 'krebs cycle', 'electron transport chain', 'fermentation', 'lactic acid', 'enzyme', 'hans krebs', 'citric acid', 'ATP synthase']",2012-03-12 22:18:51+00:00,10703502,109998,6414,806,hd,True,2012-03-12,Monday,20
9,9,GIJK3dwCWCw,CrashCourse,"Immune System, Part 1: Crash Course Anatomy & Physiology #45","Our final episodes of Anatomy & Physiology explore the way your body keeps all that complex, intricate stuff alive and healthy -- your immune system. The immune systemâ€™s responses begin with physical barriers like skin and mucous membranes, and when theyâ€™re not enough, there are phagocytes -- the neutrophils and macrophages. It also features the awesomely named natural killer cells and the inflammatory response, and we'll explain how all of these elements work together to save the day if you happen to slip on a banana peel.

Pssst... we made flashcards to help you review the content in this episode! Find them on the free Crash Course App! 

Download it here for Apple Devices: https://apple.co/3d4eyZo
Download it here for Android Devices: https://bit.ly/2SrDulJ

Chapters:
Introduction: Immune System 00:00
Skin as a Physical Barrier 1:47
Mucous Membranes 2:25
Phagocytes: Neutrophils and Macrophages 3:17
Natural Killer Cells 4:29
Inflammatory Response 5:16
Review 8:03

***

""Reformat"" Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0 License
http://creativecommons.org/licenses/by/3.0/

***

Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Thanks to the following Patrons for their generous monthly contributions that help keep Crash Course free for everyone forever:

Mark, Eric Kitchen, Jessica Wode, Jeffrey Thompson, Steve Marshall, Moritz Schmidt, Robert Kunz, Tim Curwick, Jason A Saslow, SR Foxley, Elliot Beter, Jacob Ash, Christian, Jan Schmid, Jirat, Christy Huddleston, Daniel Baulig, Chris Peters, Anna-Ester Volozh, Ian Dundore, Caleb Weeks

--

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Tumblr - http://thecrashcourse.tumblr.com 
Support Crash Course on Patreon: http://patreon.com/crashcourse

CC Kids: http://www.youtube.com/crashcoursekids","['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'science', 'education', 'Anatomy', 'Physiology', 'Immune System', 'phagocytes', 'neutrophils', 'macrophages', 'natural killer cells', 'inflammatory response']",2015-12-08 22:31:45+00:00,6203161,71081,1795,553,hd,True,2015-12-08,Tuesday,15
